Name,Email,Phone,City,Education,Experience_Years,Job_Applied,Job Sector,Company_Applied,Work_Mode,Job_Type_Preference,Referral,Skills,GitHub_Profile,LinkedIn_Profile,Resume_Link,Source_Job_Portal,Current_Job_Title,Notice_Period,Application Status
Henry Taylor,murraysusan@cole-johnson.info,+91 90019 66543,Hyderabad,Diploma,6,Sales Manager,Non-IT,EY,Onsite,Part-Time,No,"sales strategy, lead generation, CRM, negotiation, client relationship management, communication",https://github.com/user2865,https://linkedin.com/in/user8054,http://www.west.com/,Glassdoor,Software Developer,15 days,Under Review
Christine Morgan,scott02@white.com,+91 79665 33471,Chennai,M.Tech,5,UI/UX Designer,IT ,TCS,Hybrid,Remote,Yes,"wireframing, prototyping, Figma, Adobe XD, HTML, CSS, user research, usability testing",https://github.com/user8900,https://linkedin.com/in/user2930,http://www.duke.com/,Internshala,Business Analyst,Serving Notice,Under Review
Dustin Brady,townsendmary@yahoo.com,+91 91952 80030,Chandigarh,Diploma,10,DevOps Engineer,IT ,Amazon,Hybrid,Contract,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user6820,https://linkedin.com/in/user6451,https://www.dean.com/,Internshala,DevOps Engineer,60 days,Under Review
Jackson Wells,kennedykaren@gmail.com,+91 66588 61588,Ahmedabad,Diploma,7,Graphic Designer,IT ,IBM,Hybrid,Contract,Yes,"Adobe Photoshop, Illustrator, InDesign, CorelDRAW, creativity, typography, visual branding",https://github.com/user2877,https://linkedin.com/in/user1395,https://allen-kelley.org/,Indeed,Business Analyst,Serving Notice,Offer Received
Ruth Jordan,jeffreyharvey@hampton-webb.biz, +91  9501208387,Chennai,M.Sc,10,Business Analyst,IT ,Tech Mahindra,Hybrid,Internship,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user2383,https://linkedin.com/in/user4178,https://george.com/,Indeed,DevOps Engineer,Immediate,Offer Received
Jessica Fritz,brookserica@yahoo.com,+91 60611 55854,Delhi,Diploma,4,Product Manager,Non-IT,TCS,Remote,Internship,Yes,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user9135,https://linkedin.com/in/user1805,https://suarez.com/,Glassdoor,Business Analyst,Serving Notice,Rejected
Wendy Golden,vjackson@arnold.info,+91 61474 04003,Delhi,MBA,10,Product Manager,Non-IT,BYJU'S,Remote,Internship,No,"product roadmap, market research, user stories, Agile/Scrum, analytics, go-to-market strategy, stakeholder communication",https://github.com/user4862,https://linkedin.com/in/user2499,http://www.hernandez.com/,Glassdoor,UI/UX Designer,60 days,Offer Received
Mr. William White,charles28@yahoo.com, +91 82939 96347,Bangalore,B.Sc,7,DevOps Engineer,IT ,HCL Technologies,Onsite,Contract,Yes,"CI/CD, Docker, Kubernetes, AWS/Azure/GCP, Jenkins, Terraform, Linux, scripting",https://github.com/user6803,https://linkedin.com/in/user7090,http://www.brown-walters.com/,Internshala,Data Analyst,15 days,Applied
Amanda Macias,patrickdelgado@hotmail.com, +91 89409 52124,Ahmedabad,B.Sc,0,Business Analyst,IT ,Infosys,Remote,Internship,Yes,"requirements gathering, data analysis, SQL, documentation, process mapping, stakeholder management, MS Excel",https://github.com/user9223,https://linkedin.com/in/user7527,https://www.martinez.com/,Indeed,Data Analyst,Immediate,Applied
Jennifer Miles DVM,william12@arellano-harris.com, +91 96367 89800,Kolkata,MCA,0,Data Analyst,IT ,KPMG,Hybrid,Full-Time,Yes,"data cleaning, SQL, Excel, Python/R, Tableau/Power BI, statistics, reporting, visualization",https://github.com/user3204,https://linkedin.com/in/user9889,https://www.sims-thompson.biz/,Internshala,UI/UX Designer,Serving Notice,Rejected
